,sector_name,sector_code
0,Agro Chemicals,0
1,Air Transport Service,1
2,Alcoholic Beverages,2
3,Auto Ancillaries,3
4,Automobile,4
5,Banks,5
6,Bearings,6
7,Cables,7
8,Capital Goods - Electrical Equipment,8
9,Capital Goods-Non Electrical Equipment,9
10,"Castings, Forgings & Fastners",10
11,Cement,11
12,Cement - Products,12
13,Ceramic Products,13
14,Chemicals,14
15,Computer Education,15
16,Construction,16
17,Consumer Durables,17
18,Crude Oil & Natural Gas,18
19,"Diamond, Gems and Jewellery",19
20,Diversified,20
21,Dry cells,21
22,Edible Oil,22
23,Education,23
24,Engineering,24
25,Entertainment,25
26,FMCG,26
27,Fertilizers,27
28,Finance,28
29,Gas Distribution,29
30,Glass & Glass Products,30
31,Healthcare,31
32,Hotels & Restaurants,32
33,IT - Hardware,33
34,IT - Software,34
35,Infrastructure Developers & Operators,35
36,Insurance,36
37,Leather,37
38,Logistics,38
39,Media - Print/Television/Radio,39
40,Mining & Mineral products,40
41,Miscellaneous,41
42,Non Ferrous Metals,42
43,Oil Drill/Allied,43
44,Online Media,44
45,Packaging,45
46,Paints/Varnish,46
47,Paper,47
48,Petrochemicals,48
49,Pharmaceuticals,49
50,Plantation & Plantation Products,50
51,Plastic products,51
52,Power Generation & Distribution,52
53,Printing & Stationery,53
54,Readymade Garments/ Apparells,54
55,Realty,55
56,Refineries,56
57,Refractories,57
58,Retail,58
59,Sanitaryware,59
60,Ship Building,60
61,Shipping,61
62,Steel,62
63,Stock/ Commodity Brokers,63
64,Sugar,64
65,Telecom-Handsets/Mobile,65
66,Telecomm Equipment & Infra Services,66
67,Telecomm-Service,67
68,Textiles,68
69,Tobacco Products,69
70,Trading,70
71,Tyres,71
